"country","deficit_usd","deficit_gdp","source_currency","exchange_rate","conversion_date","source","revenue_source_url","spending_source_url","exchange_rate_source","exchange_rate_source_url"
"Albania",-190831955.922865,-1.3,"Lek",108.9,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Argentina",-19902623124.9842,-5.4,"Peso",39.533,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Armenia",-231666666.666667,-1.9,"Dram",480,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Australia",-6637806637.80664,-0.5,"Dollar",1.386,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Azerbaijan",4479411764.70588,9.5,"New Manat",1.7,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Belarus",2398293029.87197,4.1,"New Ruble",2.109,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Bosnia",405390995.260663,2.1,"Hercegovina-Marka",1.688,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Brazil",-116413449564.134,-6.8,"Real",4.015,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Canada",11375864719.4465,0.699999999999999,"Dollar",1.301,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Chile",-4944945247.74639,-1.7,"Peso",661.16,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Colombia",-6176989074.33473,-1.9,"Peso",2983.8,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Czech Republic",1663690196.44704,0.700000000000003,"Koruna",21.278,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Dominican Republic",-1845441738.78044,-2.3,"Peso",49.69,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"El Salvador",-161400000,-0.599999999999998,"Dolares",1,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Georgia",-292038461.538462,-1.7,"Lari",2.6,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Iceland",978642876.453095,3.9,"Krona",110.97,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Indonesia",-18048289738.4306,-1.8,"Rupiah",14910,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Israel",-12279372937.2937,-3.4,"Shekel",3.636,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ivory Coast",-1797206061.91194,-4.2,"Cfa Franc",556.92,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Jordan",270903954.802261,0.700000000000003,"Dinar",0.708,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Kazakhstan",2254988668.39865,1.3,"Tenge",361.82,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Kenya",-7566468253.96825,-8.6,"Shilling",100.8,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Korea",41272415968.2797,2.4,"Won",1109.7,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Kyrgyzstan",-23714492.7536235,-0.300000000000001,"Som",69,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Macao",7421125000,13.3,"Mop",8,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Mauritius",-270616058.39416,-1.9,"Rupee",34.25,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Mexico",-27122073578.5953,-2.2,"New Peso",18.837,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Moldova",-103873344.026615,-0.899999999999999,"Leu",16.833,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Mongolia",446275277.080411,3.5,"Tugrik",2545.29,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"New Zealand",2481005956.32031,1.3,"Dollar",1.511,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"North Macedonia",-219298544.148232,-1.8,"Denar(Ariary)",52.89,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Paraguay",-392966621.253406,-1,"Guarani",5872,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Peru",-4938998482.54932,-2.2,"Nuevo Sol",3.295,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Russia",47361459521.0946,3,"Ruble",65.775,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Rwanda",-275454545.454545,-2.9,"Franc",880,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Saudi Arabia",-38506666666.6667,-4.90000000000001,"Riyal",3.75,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Senegal",-875350140.056022,-3.7,"Cfa Franc",556.92,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Seychelles",51911111.1111112,3.2,"Rupee",13.5,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Singapore",17751388888.8889,4.9,"Dollar",1.368,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Slovak Republic",-1258864426.41946,-1.2,"Euro",0.863,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Somalia",13565.2173913043,0.2,"Shilling",575,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"South Africa",-17433516251.5829,-5.1,"Rand",14.214,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Switzerland",6263050153.53122,0.900000000000002,"Franc",0.977,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Thailand",-2581143740.34003,-0.5,"Baht",32.35,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Timor-Leste",-43900000,-1.6,"Leste Dili",1,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Turkey",-12869970069.8371,-2.1,"Lira",6.014,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uganda",-840759162.303665,-3,"Shilling",3820,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Ukraine",-2153320353.9823,-1.7,"Hryvnia",28.25,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United Arab Emirates",1340511843.17996,0.3,"Dirham",3.673,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"United States",-778996251866.11,-3.82443947324652,"Dollar",1,"09/30/2018","Bureau of the Fiscal Service","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uruguay",-1157801396.90252,-2.1,"Peso",32.93,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Uzbekistan",1416176470.58823,2.8,"Som",8160,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Western Samoa",10911608.5578447,1.2,"Tala",2.524,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Austria",-548899188.876038,-0.200000000000003,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Belgium",-1197566628.04172,-0.199999999999999,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Bulgaria",1132213209.73349,1.8,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Croatia",94669756.6628036,0.199999999999999,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Cyprus",-1391077636.15295,-5.6,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Czechia",414831981.460037,0.199999999999999,"Euro",0.863,"09/30/2018","Eurostat","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","https://ec.europa.eu/eurostat/databrowser/view/GOV_10A_MAIN__custom_312282/default/table?lang=en","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
