"country","revenue_usd","revenue_gdp","source_currency","exchange_rate","conversion_date","source","source_url","exchange_rate_source","exchange_rate_source_url"
"Albania",3907207529.84389,26,"Lek",108.9,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Argentina",66092469582.3742,17.9,"Peso",39.533,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Armenia",2844375000,22.7,"Dram",480,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Australia",345959595959.596,25.2,"Dollar",1.386,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Azerbaijan",18570352941.1765,39.4,"New Manat",1.7,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Belarus",19668658131.816,34.1,"New Ruble",2.109,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Bosnia",7732938388.62559,39.1,"Hercegovina-Marka",1.688,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Brazil",498929016189.29,29.1,"Real",4.015,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Canada",314373558800.922,18.4,"Dollar",1.301,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
"Chile",63554056506.7457,22,"Peso",661.16,"09/30/2018","International Monetary Fund","https://data.imf.org/?sk=E86E9088-3830-4CA3-B240-1B0EC5E15221","Department of the Treasury","https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/"
