"owner","federal_debt_trillions","source_url","source_url_name"
"US Investors",9.5,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
"Federal Reserve",4.3,"https://www.newyorkfed.org/markets/soma/sysopen_accholdings","System Open Market Account Holdings of Domestic Securities"
"Social Security",2.9,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
"Japan",1.3,"https://ticdata.treasury.gov/Publish/mfh.txt","Major Foreign Holders of Treasury Securities"
"Department of Defense",1.2,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
"China",1.1,"https://ticdata.treasury.gov/Publish/mfh.txt","Major Foreign Holders of Treasury Securities"
"Civil Service Retirement and Disability Fund",0.9,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
"United Kingdom",0.4,"https://ticdata.treasury.gov/Publish/mfh.txt","Major Foreign Holders of Treasury Securities"
"Ireland",0.3,"https://ticdata.treasury.gov/Publish/mfh.txt","Major Foreign Holders of Treasury Securities"
"Medicare",0.2,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
