"Legislation","Amount_Outlayed","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources","Percent_Outlayed","Percent_Obligated_Not_Outlayed","Percent_Unobligated","Loan_Program_Account"
"Total",1309696518416.28,1460476097748,1118462807103.2,2578938904851.2,50.8,5.8,43.4,"Law Total"
"1",849289356.16,5384388413.54,2062611586.46,7447000000,11.4,60.9,27.7,"Law Total"
"1",849289356.16,5384388413.54,2062611586.46,7447000000,11.4,60.9,27.7,"No"
"2",5991489393.17,8134530405.34,6194841236.66,14329371642,41.8,15,43.2,"Law Total"
"2",5991489393.17,8134530405.34,6194841236.66,14329371642,41.8,15,43.2,"No"
"3",971582164302.26,1087788343560.46,985939189648.74,2073727533209.2,46.9,5.6,47.5,"Law Total"
"3",668042585657.09,754716147064.99,421010886144.21,1175727033209.2,56.8,7.4,35.8,"No"
"3",303539578645.17,333072196495.47,564928303504.53,898000500000,33.8,3.3,62.9,"Yes"
"3.5",331273575364.69,359168835368.66,124266164631.34,483435000000,68.5,5.8,25.7,"Law Total"
"3.5",80170947909.62,92485540881.87,19614459118.13,112100000000,71.5,11,17.5,"No"
"3.5",251102627455.07,266683294486.79,104651705513.21,371335000000,67.6,4.2,28.2,"Yes"
