"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Agency for International Development","072-2020/2020-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",7000000,6999304.87,695.13,-1057094.1,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",258000000,109399506,148600494,0,"N","No","3"
"Agency for International Development","072-2020/2022-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",95000000,15151675.89,79848324.11,-4779014.48,"N","No","3"
"Agency for International Development","072-2020/2022-1007-000","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","International Affairs",1000000,0,1000000,0,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",300000000,156231467,143768533,-544044.44,"L","No","1"
"Agency for International Development","072-019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",200000000,109999027.97,90000972.03,0,"L","No","1"
"Agency for International Development","072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",241000000,169570923.61,71429076.39,-539783.7,"L","No","1"
"Agency for International Development","072-019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",235000000,198800000,36200000,-18042372.93,"L","No","1"
"Armed Forces Retirement Home","084-2020/2021-8522-000","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home","084-8522","Veterans Benefits and Services",2800000,469491.33,2330508.67,-28440.65,"N","No","3"
"Corps of Engineers","096-2020/2021-3123-000","Operation and Maintenance, Corps of Engineers-Civil","096-3123","Natural Resources and Environment",50000000,5076053.15,44923946.85,-3935766.45,"N","No","3"
"Corps of Engineers","096-2020/2021-3124-000","Expenses, Corps of Engineers-Civil","096-3124","Natural Resources and Environment",20000000,4952583.68,15047416.32,-1191301.18,"N","No","3"
"Council of the Inspectors General on Integrity and Efficiency","542-X-1654-000","Pandemic Response Accountability Committee, Council of the Inspectors General on Integrity and Efficiency","542-1654","General Government",80000000,805947.14,79194052.86,-78788.4,"N","No","3"
