"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Agency for International Development","072-019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",200000000,135623814.66,64376185.34,-25552364.45,"L","No","1"
"Agency for International Development","072-2020/2022-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",89438306.49,47162269.91,42276036.58,-23977188.79,"N","No","3"
"Agency for International Development","072-2020/2020-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",7000000,7000000,0,-4180207.29,"L","No","1"
"Agency for International Development","072-019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",235000000,200000000,35000000,-80322340.59,"L","No","1"
"Agency for International Development","072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",239300000,210534167,28765833,-39951976.48,"L","No","1"
"Agency for International Development","072-2020/2022-1007-000","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","International Affairs",1000000,309212.68,690787.32,-188748.83,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",300000000,300000000,0,-33309157.27,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",258000000,258000000,0,-20446938.29,"N","No","3"
"Armed Forces Retirement Home","084-2020/2021-8522-000","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home","084-8522","Veterans Benefits and Services",2800000,849073.62,1950926.38,-350313.6,"N","No","3"
"Corps of Engineers","096-2020/2021-3123-000","Operation and Maintenance, Corps of Engineers-Civil","096-3123","Natural Resources and Environment",50000000,19009145.34,30990854.66,-13136100.03,"N","No","3"
"Corps of Engineers","096-2020/2021-3124-000","Expenses, Corps of Engineers-Civil","096-3124","Natural Resources and Environment",20000000,7910197.13,12089802.87,-5690997.44,"N","No","3"
"Council of the Inspectors General on Integrity and Efficiency","542-X-1654-000","Pandemic Response Accountability Committee, Council of the Inspectors General on Integrity and Efficiency","542-1654","General Government",80000000,7733299.91,72266700.09,-1144652.69,"N","No","3"
"Department of Agriculture","012-2020/2020-0115-000","Processing, Research and Marketing, Office of the Secretary, Agriculture","012-0115","Agriculture",4000000000,3906692987.72,93307012.28,-2463776783.39,"M","No","2"
"Department of Agriculture","012-X-0115-000","Office of the Secretary, Agriculture","012-0115","Agriculture",30000000000,13520952495.09,16479047504.91,-10689451369.81,"N","No","3"
"Department of Agriculture","012-2020/2021-0600-000","Salaries and Expenses, Farm Service Agency, Agriculture","012-0600","Agriculture",3000000,3000000,0,-3000000,"N","No","3"
"Department of Agriculture","012-2020/2021-0900-000","Office of the Inspector General, Agriculture","012-0900","Agriculture",750000,709667.42,40332.58,-587941.23,"N","No","3"
