"Legislation","Amount_Outlayed","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources","Percent_Outlayed","Percent_Obligated_Not_Outlayed","Percent_Unobligated","Loan_Program_Account"
"Total",1622010990231.35,1790308400245.62,800756782990.63,2591065183236.25,62.6,6.5,30.9,"Law Total"
"1",1752708727.19,6371168859.04,1395831140.96,7767000000,22.6,59.4,18,"Law Total"
"1",1732708727.19,6351168859.04,1395831140.96,7747000000,22.4,59.6,18,"No"
"1",20000000,20000000,0,20000000,100,0,0,"Yes"
"2",11830070891.7,16847952760.97,2423047239.03,19271000000,61.4,26,12.6,"Law Total"
"2",11830070891.7,16847952760.97,2423047239.03,19271000000,61.4,26,12.6,"No"
"3",1248265349837.29,1389240584250.44,691351598985.81,2080592183236.25,60,6.8,33.2,"Law Total"
"3",916039618064,1041001507558.99,140933175677.26,1181934683236.25,77.5,10.6,11.9,"No"
"3",332225731773.29,348239076691.45,550418423308.55,898657500000,37,1.8,61.2,"Yes"
"3.5",360162860775.17,377848694375.17,105586305624.83,483435000000,74.5,3.7,21.8,"Law Total"
"3.5",87360400587.78,100223058579.75,11876941420.25,112100000000,77.9,11.5,10.6,"No"
"3.5",272802460187.39,277625635795.42,93709364204.58,371335000000,73.5,1.3,25.2,"Yes"
