"Agency","Percent_Obligated","Percent_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated_Not_Outlaid","Amount_Unobligated","Amount_Obligated","Total_Budgetary_Resources"
"DEPT OF THE TREASURY",1.12,38.08,60.8,371265735332.96,10969169549.98,592813005117.06,382234904882.94,975047910000
"SMALL BUSINESS ADMINISTRATION",61.21,2.01,36.78,15077184478.12,459292405474.34,276005410047.54,474369589952.46,750375000000
"HEALTH & HUMAN SERVICES",5.97,16.03,78,40053980501.76,14911125140.91,194876833260.33,54965105642.67,249841938903
"DEPT OF LABOR",0.62,19.97,79.41,29576987091.32,915435196.2,117634542712.48,30492422287.52,148126965000
"DEPT OF EDUCATION",16.17,2.85,80.97,1312563273.13,7439421854.5,37248406083.37,8751985127.63,46000391211
"DEPT OF HOMELAND SECURITY",0.65,0,99.35,109005.5,300040419.02,45570037575.48,300149424.52,45870187000
"DEPT OF TRANSPORTATION",4.62,2.92,92.47,1053379817.29,1665401816.81,33366355365.9,2718781634.1,36085137000
"DEPT OF AGRICULTURE",16.91,0.12,82.96,42331235.56,5947810220.2,29173530186.24,5990141455.76,35163671642
"DEPT OF VETERANS AFFAIRS",3.94,1.88,94.19,368110615.7,772957721.67,18488431662.63,1141068337.37,19629500000
"HOUSING & URBAN DEVELOPMENT",5.68,0,94.32,5367.21,706000852.1,11716493780.69,706006219.31,12422500000
"DEPT OF DEFENSE",4.42,0.25,95.33,19172369.46,337624706.84,7285576923.7,356797076.3,7642374000
"DEPT OF COMMERCE",0,0,99.94,33173.49,30878.6,1645367095.45,64052.09,1646431147.54
"AGENCY FOR INTERNATIONAL DEV.",9.7,0.12,90.17,1656848.43,129934522.39,1207408629.18,131591370.82,1339000000
"DEPT OF THE INTERIOR",19.58,23.54,56.88,222066107.66,184773758.01,536621231.33,406839865.67,943461097
"DEPT OF STATE",6.45,8.65,84.91,81095415.12,60494297.85,796410287.03,141589712.97,938000000
"DEPT OF JUSTICE",38.46,11.5,50.05,102540608.17,343030682.62,446428709.21,445571290.79,892000000
"OTHER AGENCIES",25.93,2.21,71.85,12823239.51,150245018.5,416269741.99,163068258.01,579338000
"ELECTION ASSISTANCE COMMISSION",18.17,81.83,0,327316236,72683764,0,400000000,400000000
"SOCIAL SECURITY ADMIN.",3.04,0,96.96,0,10258610.57,327741389.43,10258610.57,338000000
"GENERAL SERVICES ADMIN.",0.87,0.62,98.51,1827484.61,2555781.81,290766733.58,4383266.42,295150000
"FED. COMMUNICATIONS COMMISSION",6.85,0,93.15,0,13700581,186299419,13700581,200000000
"RAILROAD RETIREMENT BOARD",3.18,0,96.82,0,4407792.2,134009030,4407792.2,138416822.2
"DEPT OF ENERGY",49.96,2.09,47.95,2671075.67,63693900.6,61135023.73,66364976.27,127500000
