Agency,Percent_Outlaid,Percent_Obligated,Percent_Unobligated,Amount_Outlaid,Amount_Obligated_Not_Outlaid,Amount_Unobligated,Amount_Obligated,Total_Budgetary_Resources
Dept. of the Treasury,38.08,1.12,60.8,3.71266E+11,10969169550,5.92813E+11,3.82235E+11,9.75048E+11
Small Business Administration,1.93,61.21,36.86,14495182593,4.59292E+11,2.76587E+11,4.73788E+11,7.50375E+11
Health & Human Services,16.03,5.97,78,40053980502,14911125141,1.94877E+11,54965105643,2.49842E+11
Dept. of Labor,19.97,0.62,79.41,29576987091,915435196.2,1.17635E+11,30492422288,1.48127E+11
Dept. of Education,2.85,16.17,80.98,1312563273,7439421855,37248406083,8751985128,46000391211
Dept. of Homeland Security,0,0.65,99.35,109005.5,300040419,45570037575,300149424.5,45870187000
Dept. of Transportation,2.92,4.61,92.47,1053379817,1665401817,33366355366,2718781634,36085137000
Dept. of Agriculture,0.12,16.91,82.97,42331235.56,5947810220,29173530186,5990141456,35163671642
Dept. of Veterans Affairs,1.87,3.94,94.19,368110615.7,772957721.7,18488431663,1141068337,19629500000
Housing & Urban Development,0,5.68,94.32,5367.21,706000852.1,11716493781,706006219.3,12422500000
Dept. of Defense,0.25,4.42,95.33,19172369.46,337624706.8,7285576924,356797076.3,7642374000
Dept. of Commerce,0,0,100,33173.49,30878.6,1645367095,64052.09,1645431148
Agency for International Dev.,0.12,9.71,90.17,1656848.43,129934522.4,1207408629,131591370.8,1339000000
Dept. of the Interior,23.54,19.58,56.88,222066107.7,184773758,536621231.3,406839865.7,943461097
Dept. of State,8.65,6.45,84.9,81095415.12,60494297.85,796410287,141589713,938000000
Dept. of Justice,9.7,30.69,59.61,86523883.41,273790851.8,531685264.8,360314735.2,892000000
Other Agencies,2.21,25.94,71.85,12823239.51,150245018.5,416269742,163068258,579338000
Election Assistance Commission,81.83,18.17,0,327316236,72683764,0,400000000,400000000
Social Security Admin.,0,3.04,96.96,0,10258610.57,327741389.4,10258610.57,338000000
General Services Admin.,0.62,0.87,98.51,1827484.61,2555781.81,290766733.6,4383266.42,295150000
Fed. Communications Commission,0,6.85,93.15,0,13700581,186299419,13700581,200000000
Railroad Retirement Board,0,3.18,96.82,0,4407792.2,134009030,4407792.2,138416822.2
Dept. of Energy,2.09,49.96,47.95,2671075.67,63693900.6,61135023.73,66364976.27,127500000
