"Function_Description","Percent_Obligated","Percent_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated_Not_Outlaid","Amount_Unobligated","Amount_Obligated","Total_Budgetary_Resources"
"Commerce and Housing Credit",38.25,1.21,60.55,14483159671.86,459248738121.58,726989883354.1,473731897793.44,1200722781147.54
"Income Security",2.24,50.63,47.14,246308845664.03,10879533433.05,229340374367.12,257188379097.08,486528753464.2
"Health",4.23,16.5,79.27,39995738020.86,10249802960.51,192183859018.63,50245540981.37,242429400000
"General Government",0.18,93.82,6,142246558749.34,278048639.5,9090802611.16,142524607388.84,151615410000
"Community and Regional Development",0.48,0.79,98.73,805315600.85,495319223.65,101250952175.5,1300634824.5,102551587000
"Transportation",18.26,19.91,61.84,13600767830.11,12475059820.76,42250109349.13,26075827650.87,68325937000
"Education, Training, Employment, and Social Services",17.83,2.89,79.28,1443956115.71,8912499271.82,39616513823.47,10356455387.53,49972969211
"Veterans Benefits and Services",3.94,1.88,94.19,368110615.7,773014601.67,18491174782.63,1141125217.37,19632300000
"National Defense",4.43,0.25,95.32,19172369.46,339490402.84,7303711227.7,358662772.3,7662374000
"International Affairs",8.05,3.94,88.01,93073763.55,190445320.24,2081480916.21,283519083.79,2365000000
"Administration of Justice",28.69,12.83,58.48,152540608.17,341164986.62,695294405.21,493705594.79,1189000000
"Natural Resources and Environment",0.71,0.4,98.89,1364196.27,2421653.66,335774150.07,3785849.93,339560000
"Social Security",3.04,0,96.96,0,10258610.57,327741389.43,10258610.57,338000000
"General Science, Space, and Technology",41.19,1.26,57.55,2964530.88,97006457.86,135529011.26,99970988.74,235500000
"Agriculture",0,0,100,0,0,103000000,0,103000000
"Energy",1.27,0.07,98.66,21539.88,399036.39,30879423.73,420576.27,31300000
