"Agency","Percent_Outlaid","Percent_Obligated_Not_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources"
"Total",19.7,21.6,58.7,458923570667.02,963147532912.75,1370894338909.99,2334041871822.74
"Dept. of the Treasury",38.1,1.1,60.8,371265735332.96,382234904882.94,592813005117.06,975047910000
"Small Business Administration",1.9,61.2,36.9,14495182593.23,473787587603.44,276587412396.56,750375000000
"Health & Human Services",16,6,78,40053980501.76,54965105642.67,194876833260.33,249841938903
"Dept. of Labor",20,0.6,79.4,29576987091.32,30492422287.52,117634542712.48,148126965000
"Dept. of Education",2.8,16.2,81,1312563273.13,8751985127.63,37248406083.37,46000391211
"Dept. of Homeland Security",0,0.7,99.3,109005.5,300149424.52,45570037575.48,45870187000
"Dept. of Transportation",2.9,4.6,92.5,1053379817.29,2718781634.1,33366355365.9,36085137000
"Dept. of Agriculture",0.1,16.9,83,42331235.56,5990141455.76,29173530186.24,35163671642
"Dept. of Veterans Affairs",1.9,3.9,94.2,368110615.7,1141068337.37,18488431662.63,19629500000
"Housing & Urban Development",0,5.7,94.3,5367.21,706006219.31,11716493780.69,12422500000
"Dept. of Defense",0.3,4.4,95.3,19172369.46,356797076.3,7285576923.7,7642374000
"Dept. of Commerce",0,0,100,33173.49,64052.09,1645367095.45,1645431147.54
"Agency for International Dev.",0.1,9.7,90.2,1656848.43,131591370.82,1207408629.18,1339000000
"Dept. of the Interior",23.5,19.6,56.9,222066107.66,406839865.67,536621231.33,943461097
"Dept. of State",8.6,6.5,84.9,81095415.12,141589712.97,796410287.03,938000000
"Dept. of Justice",9.7,30.7,59.6,86523883.41,360314735.17,531685264.83,892000000
"Other Agencies",2.2,25.9,71.9,12823239.51,163068258.01,416269741.99,579338000
"Election Assistance Commission",81.8,18.2,0,327316236,400000000,0,400000000
"Social Security Admin.",0,3,97,0,10258610.57,327741389.43,338000000
"General Services Admin.",0.6,0.9,98.5,1827484.61,4383266.42,290766733.58,295150000
"Fed. Communications Commission",0,6.9,93.1,0,13700581,186299419,200000000
"Railroad Retirement Board",0,3.2,96.8,0,4407792.2,134009030,138416822.2
"Dept. of Energy",2.1,50,47.9,2671075.67,66364976.27,61135023.73,127500000
