"Agency","federal_account_code","Account_Name","Percent_Outlaid","Percent_Obligated_Not_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources","Loan_Program_Account"
"Agency for International Dev.","072-1035","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development",0,1.4,98.6,0,8089521,549910479,558000000,"No"
"Agency for International Dev.","019-1031","Global Health Programs, State",0.3,19.4,80.3,1458516.39,85600000,349400000,435000000,"No"
"Agency for International Dev.","072-1037","Economic Support Fund, Funds Appropriated to the President",0,12.3,87.7,0,30000000,213000000,243000000,"No"
"Agency for International Dev.","072-1000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President",0.2,7.5,92.3,198332.04,7901849.82,94098150.18,102000000,"No"
"Agency for International Dev.","072-1007","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President",0,0,100,0,0,1000000,1000000,"No"
"Dept. of Agriculture","012-3505","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",0,0,100,0,0,24668371642,24668371642,"No"
"Dept. of Agriculture","012-3539","Child Nutrition Programs, Food and Nutrition Service",0.4,66.6,33,32924459.01,5896743824.62,2903256175.38,8800000000,"No"
"Dept. of Agriculture","012-3507","Commodity Assistance Program, Food and Nutrition Service, Agriculture",0.6,9.7,89.7,4871197.38,87735012,762264988,850000000,"No"
"Dept. of Agriculture","012-3510","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",0,0,100,0,0,500000000,500000000,"No"
"Dept. of Agriculture","012-1232","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",3,0,97,3750000,3750000,121250000,125000000,"Yes"
"Dept. of Agriculture","012-1600","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture",0,0,100,0,0,55000000,55000000,"No"
"Dept. of Agriculture","012-2500","Marketing Services, Agricultural Marketing Service, Agriculture",0,0,100,0,0,45000000,45000000,"No"
"Dept. of Agriculture","012-1106","National Forest System, Forest Service, Agriculture",0,0.1,99.9,224.48,45190.48,33954809.52,34000000,"No"
"Dept. of Agriculture","012-3700","Food Safety and Inspection Service, Agriculture",0.5,3.3,96.2,167549.73,1249623.7,31750376.3,33000000,"No"
"Dept. of Agriculture","012-1103","Capital Improvement and Maintenance, Forest Service, Agriculture",0,0,100,2804.96,2804.96,26797195.04,26800000,"No"
"Dept. of Agriculture","012-1902","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture",3,0,97,615000,615000,19885000,20500000,"Yes"
"Dept. of Agriculture","012-0600","Salaries and Expenses, Farm Service Agency, Agriculture",0,0,100,0,0,3000000,3000000,"No"
"Dept. of Agriculture","012-1104","Forest and Rangeland Research, Forest Service, Agriculture",0,0,100,0,0,3000000,3000000,"No"
"Dept. of Commerce","013-2050","Economic Development Assistance Programs, Economic Development Administration, Commerce",0,0,100,0,0,1487000000,1487000000,"Yes"
"Dept. of Commerce","013-0525","Industrial Technology Services, National Institute of Standards and Technology, Commerce",0,0,100,0,0,60000000,60000000,"No"
"Dept. of Commerce","013-2055","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0,0,100,0,0,49131147.54,49131147.54,"No"
"Dept. of Commerce","013-1450","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",0,0,100,0,0,20300000,20300000,"No"
"Dept. of Commerce","013-0125","Salaries and Expenses, Economic Development Administration, Commerce",0,0,100,0,0,10000000,10000000,"No"
