"Agency","TAS_Rendering_Label","Account_Name","federal_account_code","Function_Description","Total_Budgetary_Resources","Obligations_Incurred","Unobligated_Balance","Outlays","DEFC","Loan_Program_Account","Legislation"
"Agency for International Development","072-2020/2022-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",95000000,30794473.27,64205526.73,-16472158.83,"N","No","3"
"Agency for International Development","072-2020/2022-1037-000","Economic Support Fund, Funds Appropriated to the President","072-1037","International Affairs",241000000,181916823.81,59083176.19,-5308067.46,"L","No","1"
"Agency for International Development","072-2020/2022-1007-000","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","International Affairs",1000000,0,1000000,0,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",300000000,300000000,0,-6167001.96,"L","No","1"
"Agency for International Development","072-2020/2020-1000-000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","International Affairs",7000000,6999304.87,695.13,-2391995.48,"L","No","1"
"Agency for International Development","072-019-X-1031-000","Global Health Programs, State","019-1031","International Affairs",200000000,118611424.08,81388575.92,0,"L","No","1"
"Agency for International Development","072-X-1035-000","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","International Affairs",258000000,258000000,0,-158448.81,"N","No","3"
"Agency for International Development","072-019-2020/2022-1031-000","Global Health Programs, State","019-1031","International Affairs",235000000,200000000,35000000,-24439702.8,"L","No","1"
"Armed Forces Retirement Home","084-2020/2021-8522-000","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home","084-8522","Veterans Benefits and Services",2800000,487334.42,2312665.58,-43292.86,"N","No","3"
"Corps of Engineers","096-2020/2021-3123-000","Operation and Maintenance, Corps of Engineers-Civil","096-3123","Natural Resources and Environment",50000000,7929246.31,42070753.69,-5620808.42,"N","No","3"
"Corps of Engineers","096-2020/2021-3124-000","Expenses, Corps of Engineers-Civil","096-3124","Natural Resources and Environment",20000000,7986383.36,12013616.64,-3288302.65,"N","No","3"
"Council of the Inspectors General on Integrity and Efficiency","542-X-1654-000","Pandemic Response Accountability Committee, Council of the Inspectors General on Integrity and Efficiency","542-1654","General Government",80000000,820539.15,79179460.85,-178681.4,"N","No","3"
"Department of Agriculture","012-2020/2020-0115-000","Processing, Research and Marketing, Office of the Secretary, Agriculture","012-0115","Agriculture",3000000000,2565094087.34,434905912.66,-1326184222.3,"M","No","2"
"Department of Agriculture","012-X-0115-000","Office of the Secretary, Agriculture","012-0115","Agriculture",16000000000,7722836427.6,8277163572.4,-6673352646.7,"N","No","3"
"Department of Agriculture","012-2020/2021-0600-000","Salaries and Expenses, Farm Service Agency, Agriculture","012-0600","Agriculture",3000000,2628984.55,371015.45,-2628984.55,"N","No","3"
"Department of Agriculture","012-2020/2021-0900-000","Office of the Inspector General, Agriculture","012-0900","Agriculture",750000,322441.08,427558.92,-255091.2,"N","No","3"
"Department of Agriculture","012-2020/2021-1103-000","Capital Improvement and Maintenance, Forest Service, Agriculture","012-1103","Natural Resources and Environment",26800000,3796046.16,23003953.84,-1335068.31,"N","No","3"
"Department of Agriculture","012-2020/2021-1104-000","Forest and Rangeland Research, Forest Service, Agriculture","012-1104","Natural Resources and Environment",3000000,21719.32,2978280.68,-20431.83,"N","No","3"
"Department of Agriculture","012-2020/2021-1106-000","National Forest System, Forest Service, Agriculture","012-1106","Natural Resources and Environment",34000000,6051820.92,27948179.08,-3055417.78,"N","No","3"
"Department of Agriculture","012-2020/2021-1115-000","Wildland Fire Management, Forest Service, Agriculture ","012-1115","Natural Resources and Environment",7000000,4253272.96,2746727.04,-2268469.12,"N","No","3"
"Department of Agriculture","012-2020/2021-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture","012-1232","Community and Regional Development",100000000,87949568,12050432,-3000000,"N","No","3"
"Department of Agriculture","012-X-1232-000","Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service,  Agriculture","012-1232","Community and Regional Development",25000000,750000,24250000,-750000,"N","No","3"
"Department of Agriculture","012-2020/2021-1600-000","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture","012-1600","Agriculture",55000000,30462577.56,24537422.44,-30462577.56,"N","No","3"
"Department of Agriculture","012-2020/2021-1902-000","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture","012-1902","Community and Regional Development",20500000,2128290.63,18371709.37,-615000,"N","Yes","3"
"Department of Agriculture","012-2020/2021-2500-000","Marketing Services, Agricultural Marketing Service, Agriculture","012-2500","Agriculture",45000000,5644748.5,39355251.5,-5070436.74,"N","No","3"
"Department of Agriculture","012-2020/2021-2900-000","Salaries and Expenses, Foreign Agricultural Service, Agriculture","012-2900","Agriculture",16930780,1494973.79,15435806.21,-1307218.04,"N","No","3"
"Department of Agriculture","012-2020/2020-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",8858371642,5073752563,3784619079,-5073752563,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",100000000,100000000,0,-60528890.19,"M","No","2"
"Department of Agriculture","012-2020/2021-3505-000","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","Income Security",15810000000,15728037705,81962295,-115306982.71,"N","No","3"
