"Agency","Percent_Outlaid","Percent_Obligated_Not_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated","Amount_Unobligated","Total_Budgetary_Resources"
"Total",46.7,7.3,46,623768354230.8,721168728417.4,614189626046.8,1335358354464.2
"Dept. of the Treasury",90.8,1.6,7.6,431416206153.79,438958704438.74,36103205561.26,475061910000
"Dept. of Labor",27.2,1.5,71.3,101801733979.28,107357815529.7,266326184470.3,373684000000
"Health & Human Services",27.1,12.4,60.5,67122238924.28,97880784760.7,149846154142.3,247726938903
"Dept. of Agriculture",2,14.6,83.4,1097792832.97,8976470337.1,45153451304.9,54129921642
"Dept. of Homeland Security",0,0.7,99.3,940057.11,333020944.07,45722166055.93,46055187000
"Dept. of Transportation",12.6,48.3,39.1,4544389374.22,21963074068.25,14122062931.75,36085137000
"Dept. of Education",14.9,72.8,12.3,4568615958.78,26976870766.6,3794379233.4,30771250000
"Small Business Administration",45.4,2.3,52.3,10450776070.59,10991885247.1,12048114752.9,23040000000
"Dept. of Veterans Affairs",4.3,6.2,89.5,845389301.97,2069994399.27,17559505600.73,19629500000
"Housing & Urban Development",3.4,15,81.6,407846985.45,2223298888.55,9899201111.45,12122500000
"Dept. of Defense",0.6,6,93.4,66760687.01,695586984.38,9890087015.62,10585674000
"Agency for International Dev.",0.8,22.7,76.5,11412360.4,314473997.36,1022526002.64,1337000000
"Dept. of State",21.6,9.4,69,202739232.17,290891734.96,649108265.04,940000000
"Dept. of Justice",24.5,54.4,21.1,218334449.68,702493872.88,187506127.12,890000000
"Dept. of the Interior",45.9,10.5,43.6,337075035.37,414463207.84,319997889.16,734461097
"Other Agencies",4.3,25.3,70.4,28193266.82,194229725.68,462578274.32,656808000
"Dept. of Commerce",0.1,7.4,92.5,342270.42,30545206.8,378454793.2,409000000
"Election Assistance Commission",99.3,0.7,0,397269514,400000000,0,400000000
"Social Security Admin.",68,1.9,30.1,229821920.99,236373536.62,101626463.38,338000000
"General Services Admin.",1.5,2.3,96.2,4313916.38,11217272.55,283932727.45,295150000
"Fed. Communications Commission",0,25.1,74.9,10000,50125710,149874290,200000000
"Railroad Retirement Board",2.6,2.3,95.1,3613100.32,6792628.68,131624193.52,138416822.2
"Dept. of Energy",9.8,60.5,29.7,12538838.8,89615159.57,37884840.43,127500000
