"Agency","Percent_Obligated","Percent_Outlaid","Percent_Unobligated","Amount_Obligated","Amount_Outlaid","Amount_Unobligated","Total_Budgetary_Authority"
"Agency for International Development",0,0,100,0,0,1139000000,1139000000
"Armed Forces Retirement Home",0,0,100,0,0,2800000,2800000
"Corps of Engineers",0,0,100,0,0,70000000,70000000
"Department of Agriculture",0,0,100,0,0,25680300000,25680300000
"Department of Commerce",0,0,100,0,0,155459344.2,155459344.2
"Department of Defense",0.03,0,99.96,3674948.91,193403.12,10581845647.97,10585714000
"Department of Education",0,0,100,0,0,30965000000,30965000000
"Department of Energy",0,0,100,0,0,127500000,127500000
"Department of Health & Human Services",1.59,0.06,98.35,2357893561.81,94698983.37,146296807454.82,148749400000
"Department of Homeland Security",0,0,100,0,0,45870187000,45870187000
"Department of Housing & Urban Development",0,0,100,0,0,12422500000,12422500000
"Department of Justice",0,0,100,0,0,903000000,903000000
"Department of Labor",0,0,100,0,0,385250000,385250000
"Department of State",1.18,0.03,98.79,13481187.31,293000,1124225812.69,1138000000
"Department of the Interior",0,0,100,0,0,756000000,756000000
"Department of the Treasury",0,0,100,0,0,182974350000,182974350000
"Department of Transportation",0,0,100,0,0,36084887000,36084887000
"Department of Veterans Affairs",0,0,100,0,0,19629500000,19629500000
"Election Assistance Commission",0,0,100,0,0,400000000,400000000
"Environmental Protection Agency",0,0,100,0,0,6160000,6160000
"Federal Communications Commission",0,0,100,0,0,200000000,200000000
"General Services Administration",0.18,0,99.82,535444.37,0,294614555.63,295150000
"Inst of American Indian & Alaska Native Culture & Arts Development",0,0,100,0,0,78000,78000
"INSTITUTE OF MUSEUM AND LIBRARY SERVICES",0,0,100,0,0,50000000,50000000
"Judiciary Branch",6.58,0.17,93.25,395006.75,10359.67,5600040.21,6005406.63
"Legislative Branch",0,0,100,0,0,57000000,57000000
"National Aeronautics & Space Administration",0,0,100,0,0,60000000,60000000
"National Archives & Records Administration",0,0,100,0,0,8100000,8100000
"NATIONAL ENDOWMENT FOR THE HUMANITIES",0,0,100,0,0,75000000,75000000
"NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES",0,0,100,0,0,75000000,75000000
"National Science Foundation",0,0,100,0,0,76000000,76000000
"Nuclear Regulatory Commission",0,0,100,0,0,3300000,3300000
"Office of Personnel Management",0,0,100,0,0,12100000,12100000
"RAILROAD RETIREMENT BOARD",0,0,100,0,0,138416822.2,138416822.2
"Small Business Administration",0.02,0.15,99.82,85833000.57,582059915.48,376297107083.95,376965000000
"Smithsonian Institution",0,0,100,0,0,7500000,7500000
"Social Security Administration",0,0,100,0,0,338000000,338000000
