"Agency","federal_account_code","Account_Name","Percent_Obligated","Percent_Outlaid","Percent_Unobligated","Amount_Obligated","Amount_Outlaid","Amount_Unobligated","Total_Budgetary_Authority"
"Agency for International Development","019-1031","Global Health Programs, State",0,0,100,0,0,235000000,235000000
"Agency for International Development","072-1000","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President",0,0,100,0,0,102000000,102000000
"Agency for International Development","072-1007","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President",0,0,100,0,0,1000000,1000000
"Agency for International Development","072-1035","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development",0,0,100,0,0,558000000,558000000
"Agency for International Development","072-1037","Economic Support Fund, Funds Appropriated to the President",0,0,100,0,0,243000000,243000000
"Armed Forces Retirement Home","084-8522","Armed Forces Retirement Home Trust Fund, Armed Forces Retirement Home",0,0,100,0,0,2800000,2800000
"Corps of Engineers","096-3123","Operation and Maintenance, Corps of Engineers-Civil",0,0,100,0,0,50000000,50000000
"Corps of Engineers","096-3124","Expenses, Corps of Engineers-Civil",0,0,100,0,0,20000000,20000000
"Department of Agriculture","012-0600","Salaries and Expenses, Farm Service Agency, Agriculture",0,0,100,0,0,3000000,3000000
"Department of Agriculture","012-1103","Capital Improvement and Maintenance, Forest Service, Agriculture",0,0,100,0,0,26800000,26800000
"Department of Agriculture","012-1104","Forest and Rangeland Research, Forest Service, Agriculture",0,0,100,0,0,3000000,3000000
"Department of Agriculture","012-1106","National Forest System, Forest Service, Agriculture",0,0,100,0,0,34000000,34000000
"Department of Agriculture","012-1600","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture",0,0,100,0,0,55000000,55000000
"Department of Agriculture","012-1902","Rural Business Program Account, Rural Business-Cooperative Service, Agriculture",0,0,100,0,0,20500000,20500000
"Department of Agriculture","012-2500","Marketing Services, Agricultural Marketing Service, Agriculture",0,0,100,0,0,45000000,45000000
"Department of Agriculture","012-3505","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",0,0,100,0,0,15810000000,15810000000
"Department of Agriculture","012-3507","Commodity Assistance Program, Food and Nutrition Service, Agriculture",0,0,100,0,0,850000000,850000000
"Department of Agriculture","012-3539","Child Nutrition Programs, Food and Nutrition Service",0,0,100,0,0,8800000000,8800000000
"Department of Agriculture","012-3700","Food Safety and Inspection Service, Agriculture",0,0,100,0,0,33000000,33000000
"Department of Commerce","013-0126","Office of Inspector General, Departmental Management, Commerce",0,0,100,0,0,3000000,3000000
"Department of Commerce","013-0201","Minority Business Development, Minority Business Development Agency, Commerce",0,0,100,0,0,820000,820000
"Department of Commerce","013-0500","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ",0,0,100,0,0,491803,491803
"Department of Commerce","013-0525","Industrial Technology Services, National Institute of Standards and Technology, Commerce",0,0,100,0,0,4918033,4918033
"Department of Commerce","013-1450","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",0,0,100,0,0,1663934.43,1663934.43
"Department of Commerce","013-2050","Economic Development Assistance Programs, Economic Development Administration, Commerce",0,0,100,0,0,120000000,120000000
"Department of Commerce","013-2055","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0,0,100,0,0,24565573.77,24565573.77
"Department of Defense","017-1106","Operation and Maintenance, Marine Corps",0,0,100,0,0,90000000,90000000
"Department of Defense","017-1804","Operation and Maintenance, Navy",0,0,100,0,0,360308000,360308000
"Department of Defense","021-2020","Operation and Maintenance, Army",0,0,100,0,0,160300000,160300000
"Department of Defense","021-2060","National Guard Personnel, Army",0,0,100,0,0,746591000,746591000
"Department of Defense","021-2065","Operation and Maintenance, Army National Guard",0,0,100,0,0,186696000,186696000
"Department of Defense","021-2080","Operation and Maintenance, Army Reserve",0,0,100,0,0,48000000,48000000
"Department of Defense","057-3400","Operation and Maintenance, Air Force",2.31,0.12,97.57,3580336.73,193403.12,151266260.15,155040000
"Department of Defense","057-3840","Operation and Maintenance, Air National Guard",0.12,0,99.88,94612.18,0,75659387.82,75754000
"Department of Defense","057-3850","National Guard Personnel, Air Force",0,0,100,0,0,482125000,482125000
"Department of Defense","097-0100","Operation and Maintenance, Defense-Wide, Defense",0,0,100,0,0,827800000,827800000
"Department of Defense","097-0107","Office of the Inspector General, Defense",0,0,100,0,0,20000000,20000000
"Department of Defense","097-0130","Defense Health Program, Defense",0,0,100,0,0,4983100000,4983100000
"Department of Defense","097-0360","Defense Production Act Purchases, Defense",0,0,100,0,0,1000000000,1000000000
"Department of Defense","097-4930","Department of Defense Working Capital Fund, Defense",0,0,100,0,0,1450000000,1450000000
"Department of Education","091-0203","Safe Schools and Citizenship Education,  Education",0,0,100,0,0,180000000,180000000
"Department of Education","091-0251","Education Stabilization Fund, Department of Education",0,0,100,0,0,30750000000,30750000000
"Department of Education","091-0602","Gallaudet University, Special Institutions for Persons with Disabilities, Education",0,0,100,0,0,7000000,7000000
"Department of Education","091-0603","Howard University, Education",0,0,100,0,0,13000000,13000000
"Department of Education","091-0800","Program Administration, Departmental Management, Education",0,0,100,0,0,8000000,8000000
"Department of Education","091-1400","Office of the Inspector General, Departmental Management, Education",0,0,100,0,0,7000000,7000000
"Department of Energy","089-0222","Science, Energy Programs, Energy",0,0,100,0,0,99500000,99500000
"Department of Energy","089-0228","Departmental Administration, Energy Programs, Energy",0,0,100,0,0,28000000,28000000
"Department of Health & Human Services","075-0128","Office of the Inspector General, Office of the Secretary, Health and Human Services",0,0,100,0,0,2000000,2000000
"Department of Health & Human Services","075-0140","Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",1.07,0.02,98.91,1400672713.56,21810375.88,129590016910.56,131012500000
