"Agency","federal_account_code","Account_Name","Percent_Obligated","Percent_Outlaid","Percent_Unobligated","Amount_Outlaid","Amount_Obligated_Not_Outlaid","Amount_Unobligated","Amount_Obligated","Total_Budgetary_Resources"
"DEPT OF AGRICULTURE","012-3505","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",0,0,100,0,0,24668371642,0,24668371642
"DEPT OF AGRICULTURE","012-3539","Child Nutrition Programs, Food and Nutrition Service",66.63,0.37,32.99,32924459.01,5863819365.61,2903256175.38,5896743824.62,8800000000
"DEPT OF AGRICULTURE","012-3507","Commodity Assistance Program, Food and Nutrition Service, Agriculture",9.75,0.57,89.68,4871197.38,82863814.62,762264988,87735012,850000000
"DEPT OF AGRICULTURE","012-3510","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",0,0,100,0,0,500000000,0,500000000
"DEPT OF AGRICULTURE","012-1600","Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture",0,0,100,0,0,55000000,0,55000000
"DEPT OF AGRICULTURE","012-2500","Marketing Services, Agricultural Marketing Service, Agriculture",92.89,0,7.11,0,41800000,3200000,41800000,45000000
"DEPT OF AGRICULTURE","012-1106","National Forest System, Forest Service, Agriculture",0.13,0,99.87,224.48,44966,33954809.52,45190.48,34000000
"DEPT OF AGRICULTURE","012-3700","Food Safety and Inspection Service, Agriculture",3.28,0.51,96.21,167549.73,1082073.97,31750376.3,1249623.7,33000000
"DEPT OF AGRICULTURE","012-1103","Capital Improvement and Maintenance, Forest Service, Agriculture",0,0.01,99.99,2804.96,0,26797195.04,2804.96,26800000
"DEPT OF AGRICULTURE","012-0600","Salaries and Expenses, Farm Service Agency, Agriculture",0,0,100,0,0,3000000,0,3000000
"DEPT OF AGRICULTURE","012-1104","Forest and Rangeland Research, Forest Service, Agriculture",0,0,100,0,0,3000000,0,3000000
"DEPT OF COMMERCE","013-2050","Economic Development Assistance Programs, Economic Development Administration, Commerce",0,0,100,0,0,1487000000,0,1487000000
"DEPT OF COMMERCE","013-0525","Industrial Technology Services, National Institute of Standards and Technology, Commerce",0,0,100,0,0,60000000,0,60000000
"DEPT OF COMMERCE","013-2055","Fishery Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0,0,100,0,0,49131147.54,0,49131147.54
"DEPT OF COMMERCE","013-1450","Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",0,0,100,0,0,20300000,0,20300000
"DEPT OF COMMERCE","013-0201","Minority Business Development, Minority Business Development Agency, Commerce",0,0,100,0,0,10000000,0,10000000
"DEPT OF COMMERCE","013-0500","Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce ",0.51,0.55,98.93,33173.49,30878.6,5935947.91,64052.09,6000000
