Function_Description,Percent_Obligated,Percent_Outlaid,Percent_Unobligated,Amount_Obligated,Amount_Outlaid,Amount_Unobligated,Total_Budgetary_Authority
Administration of Justice,0.03,0,99.97,395006.75,10359.67,1205600040,1206005407
Agriculture,2,49,49,0,0,103000000,103000000
Commerce and Housing Credit,100,0,0,85833000.57,59915.48,3.77132E+11,3.77217E+11
Community and Regional Development,20,50,30,0,582000000,50467587000,51049587000
"Education, Training, Employment, and Social Services",50,2,48,249261374.6,738625.4,34523578000,34773578000
Energy,98,1,1,0,0,31300000,31300000
General Government,1,1,98,535444.37,0,1.51578E+11,1.51579E+11
"General Science, Space, and Technology",49.5,1,49.5,0,0,235500000,235500000
Health,1.49,0.07,98.44,2108632187,93960357.97,1.39101E+11,1.41303E+11
Income Security,0,0,100,0,0,37413666822,37413666822
International Affairs,0.59,0.01,99.4,13481187.31,293000,2263225813,2277000000
National Defense,0.03,0,99.96,3674948.91,193403.12,10601845648,10605714000
Natural Resources and Environment,0,0,100,0,0,320623934.4,320623934.4
Social Security,0,0,100,0,0,338000000,338000000
Transportation,0,0,100,0,0,68325687000,68325687000
Veterans Benefits and Services,0,0,100,0,0,19632300000,19632300000
