"agency","obligations","total_funding","rndobligations_rd","RnDpercent","Rndpercent_rd"
"Department of Defense",26983997364.34,421668531491.51,"27  B",6.39933866273901,6
"National Aeronautics and Space Administration",9758136943.8,14714768273.79,"9.8  B",66.3152607111131,66
"Department of Health and Human Services",6390922135.88,34847058633.97,"6.4  B",18.3399184505344,18
"Department of Energy",2438888350.48,35536812942.42,"2.4  B",6.86299121542416,7
"General Services Administration",700897077.85,16863362151.73,"701  M",4.15633057953449,4
"Department of Transportation",592303943.54,6803613043.98,"592  M",8.70572649724818,9
"Department of Homeland Security",347808863.31,19472646122.03,"348  M",1.78614072853978,2
"Agency for International Development",225601885.31,6013601380.34,"226  M",3.75152709734886,4
"Department of the Interior",107307105.96,4505059625.77,"107  M",2.38192421130629,2
"Department of Education",68576248.93,2884529922.32,"69  M",2.37738039738706,2
"Department of Commerce",50585357.54,5793253408.83,"51  M",0.873177021100069,1
"Department of Veterans Affairs",48301433.88,36912624474.17,"48  M",0.130853426349566,0
"Environmental Protection Agency",25796361.42,1138565145.63,"26  M",2.26569041912188,2
"Department of the Treasury",25279867.79,6561795537.2,"25  M",0.385258389211975,0
"Department of Justice",14301328.48,8290025368.33,"14  M",0.17251248150138,0
"Department of Agriculture",12636469.62,9756846743.41,"13  M",0.129513868079715,0
"Department of State",7792057.2,10507123879.77,"8  M",0.0741597537933527,0
"National Science Foundation",7757336.07,503338954.08,"8  M",1.54117538631176,2
"Department of Housing and Urban Development",6063863.51,670301925.56,"6  M",0.904646589659425,1
"Nuclear Regulatory Commission",2405837.86,175979379.02,"2  M",1.36711350693343,1
"Office of Personnel Management",1503377.98,351450554.52,"2  M",0.427763723990496,0
"Department of Labor",606232.67,2186301282.69,"606  K",0.0277286883925759,0
"Small Business Administration",0,1525538585.88,"0  K",0,0
